TimeStamp,Count
20101111,1526
20101112,1455
20101113,2811
20101114,3063
20101115,3015
20101116,2979
20101117,2551
20101118,1421
20101119,1450
20101120,2642
20101121,2779
20101122,2806
20101123,2386
20101124,1518
20101125,1037
20101126,1107
20101127,2010
20101128,2243
20101129,2416
20101130,2329
20101131,1556
20110001,1005
20110002,1351
20110003,2341
20110004,2852
20110005,3097
20110006,3094
20110007,2914
20110008,1574
20110009,1637
20110010,2991
20110011,3270
20110012,3311
20110013,3335
20110014,2970
20110015,1631
20110016,1760
20110017,3074
20110018,3239
20110019,3430
20110020,3483
20110021,3193
20110022,1854
20110023,1719
20110024,3262
20110025,3376
20110026,3253
20110027,3469
20110028,3141
20110029,1774
20110030,1772
20110031,3253
20110101,3404
20110102,3473
20110103,3537
20110104,3096
20110105,1897
20110106,1907
20110107,3322
20110108,3519
20110109,3580
20110110,3592
20110111,3304
20110112,1807
20110113,1858
20110114,3292
20110115,3592
20110116,3758
20110117,3721
20110118,3354
20110119,1872
20110120,1965
20110121,3477
20110122,3869
20110123,3977
20110124,3808
20110125,3445
20110126,1921
20110127,1864
20110128,3503
20110201,3705
20110202,3838
20110203,3757
20110204,3560
20110205,2038
20110206,1976
20110207,3686
20110208,3864
20110209,4106
20110210,3911
20110211,3537
20110212,1915
20110213,2007
20110214,3779
20110215,3922
20110216,4017
20110217,3880
20110218,3566
20110219,1963
20110220,1995
20110221,3703
20110222,4161
20110223,4098
20110224,3939
20110225,3514
20110226,1990
20110227,2115
20110228,3784
20110229,4007
20110230,3868
20110231,4078
20110301,3499
20110302,1941
20110303,2010
20110304,3681
20110305,4173
20110306,4243
20110307,4186
20110308,3679
20110309,2017
20110310,2012
20110311,3920
20110312,4166
20110313,4089
20110314,4086
20110315,3626
20110316,2074
20110317,2045
20110318,3800
20110319,4143
20110320,4148
20110321,3767
20110322,2976
20110323,1982
20110324,1838
20110325,3123
20110326,3921
20110327,4246
20110328,4123
20110329,3496
20110330,2081
20110401,2088
20110402,3449
20110403,3919
20110404,4119
20110405,4197
20110406,3744
20110407,1978
20110408,1914
20110409,3794
20110410,4171
20110411,4266
20110412,4143
20110413,3820
20110414,1946
20110415,1936
20110416,3803
20110417,4035
20110418,4136
20110419,4066
20110420,3721
20110421,1907
20110422,1924
20110423,3852
20110424,4089
20110425,4167
20110426,4219
20110427,3570
20110428,1847
20110429,1812
20110430,3153
20110431,3850
20110501,4151
20110502,3733
20110503,3552
20110504,1889
20110505,1973
20110506,3841
20110507,3941
20110508,4113
20110509,4194
20110510,3670
20110511,1803
20110512,1861
20110513,3666
20110514,4019
20110515,4194
20110516,4199
